news,partial
bbc,partial
breaking,partial
cnn,partial
live,partial
weather,not
times,partial
nws,not
metoffice,partial
press,partial
post,partial
envagency,partial
stormwch,not
stormalert,not
daily,partial
radio,partial
cbs,partial
itv,partial
independent,partial
ukflood,not
report,partial
herald,partial
channel,partial
kbtx,partial
usatoday,full
discovermag,full
nytupdates,full
thesun,full
telegraph,full
guardian,full
mailonline,full
ap,full
dcbrief,full
WCCBCharlotte,full
watsupasia,full
HXCourier,full
wsoctv,full
LancashireFRS,full
todaycork,full
FOX2now,full
CumbriaCrack,full
wsbtv,full
ScottishEPA,full
time,full
ABCemergency,full
oliver,not
clive,not
Rus_Eng_News,not
apostol,not
impress,not
lives,not